id,title,contentType,category,audiences,intents,summary,keyQuestions,recommendedServices,accessMode,siteSpecificRequired,pdfStatus,priority,pdfFile
why-decision-makers-should-use-lsbud-insight,Why decision-makers should use LSBUD Insight,Guidance,Management and governance,All users,why decision-makers should use lsbud insight,Why decision-makers should use LSBUD Insight library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
contractor-briefing-pack,Contractor briefing pack,Download / PDF,Management and governance,All users,contractor briefing pack,Contractor briefing pack library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,PDF required,High,
organisation-dashboard-concept,Organisation dashboard concept,User Guide,Pro account,All users,organisation dashboard concept,Organisation dashboard concept library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
pro-account-overview,Pro account overview,User Guide,Pro account,All users,pro account overview,Pro account overview library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
monthly-included-services-guide,Monthly included services guide,User Guide,Pro account,All users,monthly included services guide,Monthly included services guide library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
prepaid-premium-services-guide,Prepaid premium services guide,User Guide,Pro account,All users,prepaid premium services guide,Prepaid premium services guide library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
team-user-management-guide,Team user management guide,User Guide,Pro account,All users,team user management guide,Team user management guide library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
safe-digging-basics-for-operatives,Safe digging basics for operatives,Training,Training,All users,safe digging basics for operatives,Safe digging basics for operatives library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
understanding-utility-plans-training,Understanding utility plans training,Training,Training,All users,understanding utility plans training,Understanding utility plans training library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
service-connection-awareness-toolbox-talk,Service connection awareness toolbox talk,Training,Training,All users,service connection awareness toolbox talk,Service connection awareness toolbox talk library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
hsg47-in-practice-module,HSG47 in practice module,Training,Training,All users,hsg47 in practice module,HSG47 in practice module library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
emergency-response-after-a-service-strike,Emergency response after a service strike,Training,Training,All users,emergency response after a service strike,Emergency response after a service strike library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
c2-pack-collation-basics,C2 pack collation basics,Training,Training,All users,c2 pack collation basics,C2 pack collation basics library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
nuar-and-safe-digging-workflows,NUAR and safe digging workflows,News,News and industry updates,All users,nuar and safe digging workflows,NUAR and safe digging workflows library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
pas128-2022-awareness-update,PAS128:2022 awareness update,News,News and industry updates,All users,pas128:2022 awareness update,PAS128:2022 awareness update library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
service-strike-lessons-learned,Service strike lessons learned,News,News and industry updates,All users,service strike lessons learned,Service strike lessons learned library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
survey-and-detection-technology-update,Survey and detection technology update,News,News and industry updates,All users,survey and detection technology update,Survey and detection technology update library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
environmental-and-planning-update,Environmental and planning update,News,News and industry updates,All users,environmental and planning update,Environmental and planning update library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Pro account,Guest guidance unless the next action is site-specific,False,Not started,Medium,
partner-update-select-surveys,Partner update: Select Surveys,News,News and industry updates,All users,partner update: select surveys,Partner update: Select Surveys library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Select Surveys Quote Request,Guest guidance unless the next action is site-specific,False,Not started,Medium,
